observation_date,PCE,YEAR
1/1/29,8.787,1929
1/1/30,8.415,1930
1/1/31,7.514,1931
1/1/32,6.627,1932
1/1/33,6.391,1933
1/1/34,6.681,1934
1/1/35,6.846,1935
1/1/36,6.909,1936
1/1/37,7.16,1937
1/1/38,6.997,1938
1/1/39,6.929,1939
1/1/40,6.988,1940
1/1/41,7.423,1941
1/1/42,8.347,1942
1/1/43,9.115,1943
1/1/44,9.638,1944
1/1/45,10.024,1945
1/1/46,10.722,1946
1/1/47,11.809,1947
1/1/48,12.477,1948
1/1/49,12.379,1949
1/1/50,12.527,1950
1/1/51,13.38,1951
1/1/52,13.654,1952
1/1/53,13.834,1953
1/1/54,13.95,1954
1/1/55,14.005,1955
1/1/56,14.284,1956
1/1/57,14.718,1957
1/1/58,15.066,1958
1/1/59,15.29,1959
1/1/60,15.541,1960
1/1/61,15.702,1961
1/1/62,15.886,1962
1/1/63,16.077,1963
1/1/64,16.309,1964
1/1/65,16.544,1965
1/1/66,16.962,1966
1/1/67,17.389,1967
1/1/68,18.069,1968
1/1/69,18.883,1969
1/1/70,19.766,1970
1/1/71,20.605,1971
1/1/72,21.308,1972
1/1/73,22.455,1973
1/1/74,24.793,1974
1/1/75,26.86,1975
1/1/76,28.333,1976
1/1/77,30.176,1977
1/1/78,32.276,1978
1/1/79,35.143,1979
1/1/80,38.928,1980
1/1/81,42.415,1981
1/1/82,44.771,1982
1/1/83,46.676,1983
1/1/84,48.439,1984
1/1/85,50.128,1985
1/1/86,51.219,1986
1/1/87,52.802,1987
1/1/88,54.865,1988
1/1/89,57.261,1989
1/1/90,59.775,1990
1/1/91,61.774,1991
1/1/92,63.42,1992
1/1/93,65,1993
1/1/94,66.356,1994
1/1/95,67.754,1995
1/1/96,69.203,1996
1/1/97,70.407,1997
1/1/98,70.967,1998
1/1/99,72.001,1999
1/1/00,73.822,2000
1/1/01,75.302,2001
1/1/02,76.291,2002
1/1/03,77.894,2003
1/1/04,79.827,2004
1/1/05,82.127,2005
1/1/06,84.44,2006
1/1/07,86.607,2007
1/1/08,89.17,2008
1/1/09,88.921,2009
1/1/10,90.514,2010
1/1/11,92.804,2011
1/1/12,94.534,2012
1/1/13,95.781,2013
1/1/14,97.121,2014
1/1/15,97.299,2015
1/1/16,98.284,2016
1/1/17,100,2017
1/1/18,102.047,2018
1/1/19,103.509,2019
1/1/20,104.666,2020
1/1/21,108.972,2021
1/1/22,116.1,2022
1/1/23,120.511,2023
1/1/24,123.666,2024
